date,open,high,low,close,volume
2010-03-04,25.3535,25.4568,25.2088,25.2419,1327059
2010-03-05,25.3866,25.6014,24.9485,25.4816,1061169
2010-03-08,25.6221,25.7667,25.3287,25.7626,1135307
2010-03-09,25.622,25.6964,25.3947,25.4774,1058356
2010-03-10,25.4072,25.6469,25.341,25.5642,922394
2010-03-11,25.5147,26.1511,25.4981,26.1139,1320614
2010-03-12,26.1841,26.2792,26.0147,26.2461,851727
2010-03-15,26.2502,26.2544,25.8328,26.0808,1379460
2010-03-16,26.0684,26.2461,25.9816,26.2172,848836
2010-03-17,26.2296,26.5271,26.1924,26.4197,765027
2010-03-18,26.4486,26.5643,26.2006,26.3659,714442
2010-03-19,26.0891,26.8619,25.9279,26.0891,1125803
2010-03-22,25.9734,26.8867,25.618,26.8412,1220934
2010-03-23,26.7833,27.0189,26.6428,26.9858,772050
2010-03-24,26.9156,26.9652,26.3164,26.3205,1353838
2010-03-25,26.4321,26.6924,26.1841,26.1965,1026701
2010-03-26,26.2254,26.4651,26.1138,26.4155,1397145
2010-03-29,26.5106,26.9321,26.4775,26.8949,1031743
2010-03-30,26.9528,27.1718,26.7916,27.0685,1191510
2010-03-31,27.0065,27.0602,26.6345,26.8081,1016617
2010-04-01,26.9279,27.1676,26.8907,27.1015,805110
2010-04-05,27.1428,27.2668,26.7006,26.7585,1266886
2010-04-06,26.6097,26.7296,25.965,26.151,2422687
2010-04-07,26.1841,26.3205,25.8452,26.2337,1339621
2010-04-08,26.1428,26.5932,25.8369,26.4651,994136
2010-04-09,26.5478,27.0975,26.4941,27.052,1114562
2010-04-12,27.0727,27.3619,27.0107,27.2421,946696
2010-04-13,27.1966,27.3453,27.0271,27.2131,1614189
2010-04-14,27.2255,27.6016,27.2172,27.5685,1008600
2010-04-15,27.5644,27.8702,27.4363,27.7752,845117
2010-04-16,27.6305,28.1471,27.6264,28.0562,1526333
2010-04-19,27.9859,28.1388,27.461,27.8619,1616337
2010-04-20,27.99,28.362,27.7999,28.3289,1108443
2010-04-21,28.3082,28.3082,27.6801,27.9487,1873055
2010-04-22,27.833,28.519,27.614,28.5025,1905622
2010-04-23,28.4901,28.7628,28.3082,28.7215,1133487
2010-04-26,28.6017,29.4613,28.6017,28.9199,3084321
2010-04-27,27.1594,28.0645,26.7172,27.7132,5304354
2010-04-28,27.924,28.0314,27.2545,27.5231,1792308
2010-04-29,27.6099,27.7462,27.271,27.3619,1723705
2010-04-30,27.2752,27.5438,27.1471,27.2421,1348633
2010-05-03,27.3164,27.4238,27.1594,27.3288,1265068
2010-05-04,27.0643,27.1511,26.6552,26.8866,1958019
2010-05-05,26.6966,26.8371,25.8948,25.9527,2777187
2010-05-06,25.87,25.9857,23.3491,25.122,3785616
2010-05-07,25.1055,25.1055,23.9897,24.1881,3557589
2010-05-10,25.1798,26.027,25.0352,25.9609,3363511
2010-05-11,25.9196,26.4031,25.6221,26.0932,2166967
2010-05-12,26.1841,26.428,26.0064,26.4073,1176964
2010-05-13,26.3246,26.6222,26.1139,26.118,1397478
2010-05-14,26.0064,26.0064,25.06,25.2253,2494924
2010-05-17,25.2129,25.5601,24.8534,25.527,2120927
2010-05-18,25.6882,25.8783,24.8245,24.9733,2054398
2010-05-19,24.8658,24.9815,24.4649,24.8286,1415081
2010-05-20,24.3534,24.4732,23.907,23.9897,2330038
2010-05-21,23.7004,24.3947,23.3492,24.341,1945627
2010-05-24,24.279,24.4195,24.0145,24.2129,1357476
2010-05-25,23.4855,23.8244,23.2871,23.7913,1870987
2010-05-26,23.9402,24.1592,23.3327,23.3368,3436754
2010-05-27,23.7087,24.2914,23.7087,24.2542,1837848
2010-05-28,24.2294,24.4029,24.0393,24.0806,1235479
2010-06-01,23.8203,24.3741,23.6302,23.936,1910417
2010-06-02,23.9856,24.3038,23.6922,24.2542,1406405
2010-06-03,24.3823,24.6758,24.3782,24.5931,1498894
2010-06-04,24.0311,24.122,22.8161,22.8698,2593040
2010-06-07,22.9028,23.1797,22.6177,22.6838,3053655
2010-06-08,22.6507,23.2334,22.3862,23.1714,1935289
2010-06-09,23.2003,24.0847,23.1714,23.5516,1907353
2010-06-10,23.7748,24.0434,23.7541,24.0145,1251267
2010-06-11,23.7666,23.9153,23.4442,23.9112,1496909
2010-06-14,23.9732,24.2666,23.7294,24.0352,1564850
2010-06-15,24.1385,24.9154,23.9897,24.8989,1520135
2010-06-16,24.6716,24.7997,24.4278,24.5683,1577248
2010-06-17,24.7295,24.7295,24.2005,24.684,1213496
2010-06-18,24.6138,24.8658,24.5146,24.7708,1234159
2010-06-21,25.122,25.1261,24.2376,24.374,1281019
2010-06-22,24.3493,24.6634,23.812,23.8699,1173328
2010-06-23,23.8409,23.8409,23.3037,23.6963,1146217
2010-06-24,23.5682,23.6426,23.2872,23.3533,1000667
2010-06-25,23.4401,23.5806,23.1178,23.2376,1009263
2010-06-28,23.3326,23.4318,23.097,23.221,505167
2010-06-29,23.064,23.064,22.6424,22.8904,1437727
2010-06-30,22.8987,23.3946,22.8656,23.0309,1515502
2010-07-01,23.0516,23.5806,22.8904,23.5186,1924219
2010-07-02,23.221,23.969,23.1797,23.7169,1539553
2010-07-06,24.0352,24.7542,23.9608,24.2418,2138618
2010-07-07,24.3327,24.965,24.3327,24.9567,1723207
2010-07-08,25.1592,25.4567,24.9112,25.4154,1108029
2010-07-09,25.3576,25.9196,25.2915,25.7006,1572617
2010-07-12,25.5808,25.7998,25.4155,25.6841,1101503
2010-07-13,25.9155,26.461,25.8163,26.337,1442191
2010-07-14,26.2047,26.9155,26.0477,26.9114,1902560
2010-07-15,26.8494,26.8618,26.4982,26.8329,2585844
2010-07-16,26.6511,26.709,26.1056,26.2296,1363096
2010-07-19,26.4031,26.4899,25.8204,25.9568,1175805
2010-07-20,25.7295,25.8039,25.1964,25.7956,1913635
2010-07-21,25.8989,26.0601,25.0972,25.2749,1386896
2010-07-22,25.5188,25.8411,25.3948,25.7337,1337640
2010-07-23,25.1799,25.9073,25.0064,25.899,2106882
2010-07-26,25.4402,26.0229,25.3741,26.0229,2056706
2010-07-27,26.1386,26.4031,26.0229,26.213,1930331
2010-07-28,26.1841,26.1841,25.5766,25.6221,1109024
2010-07-29,25.7171,26.0022,25.527,25.7832,1405410
2010-07-30,25.5684,25.8535,25.4816,25.7254,1272591
2010-08-02,26.1221,26.5106,25.8039,26.2213,1629399
2010-08-03,26.1965,26.2337,25.6923,25.9444,1423099
2010-08-04,26.0477,26.2543,25.9485,26.151,1156793
2010-08-05,26.0229,26.37,25.9361,26.1634,1191838
2010-08-06,25.9113,26.337,25.8411,26.2254,1067199
2010-08-09,26.304,26.5685,26.304,26.4197,985211
2010-08-10,26.1593,26.1882,25.9361,26.0188,1336150
2010-08-11,25.5188,25.6262,24.8369,24.9402,2192671
2010-08-12,22.6176,24.4442,22.568,24.2996,7494856
2010-08-13,24.1633,24.2666,23.6798,23.8947,1751975
2010-08-16,23.7748,23.7996,23.4897,23.7335,2022410
2010-08-17,23.8534,24.4278,23.6674,24.2005,1864794
2010-08-18,24.217,24.4774,24.0228,24.2666,1361029
2010-08-19,24.1757,24.2336,23.7335,23.9856,1091089
2010-08-20,23.7872,23.9442,23.6012,23.7169,1045957
2010-08-23,23.8409,23.9153,23.3408,23.3739,1355736
2010-08-24,23.0145,23.4608,22.9359,23.3368,1419383
2010-08-25,23.1508,23.5888,23.0888,23.5227,1401857
2010-08-26,23.5764,23.7252,23.3698,23.4111,1156546
2010-08-27,23.5848,23.7831,23.2294,23.7046,798666
2010-08-30,23.6509,23.655,22.9979,23.0227,1272096
2010-08-31,22.8573,23.3863,22.8573,23.1714,1518725
2010-09-01,23.4855,24.0393,23.4855,24.0021,1135058
2010-09-02,23.9608,24.1426,23.8368,24.1178,852553
2010-09-03,24.279,24.7129,24.1633,24.4319,1292014
2010-09-07,24.2914,24.2914,23.717,23.7955,1253913
2010-09-08,23.8574,24.2335,23.8037,24.1178,841230
